frame,track_id,display_track_id,class_id,conf,x1,y1,x2,y2,team_id,notes
0,0,0,2,1.0,1098.32,631.71,1131.72,725.0,-1,cvat_keyframe
0,1,1,2,1.0,650.8,494.59,677.2,566.98,-1,cvat_keyframe
0,2,2,2,1.0,808.5,402.71,830.51,468.14,-1,cvat_keyframe
0,3,3,2,1.0,891.0,408.06,912.2,473.25,-1,cvat_keyframe
0,4,4,2,1.0,1670.72,670.97,1722.17,773.87,-1,cvat_keyframe
0,5,5,2,1.0,1568.7,429.7,1598.9,495.4,-1,cvat_keyframe
0,6,6,1,1.0,1401.1,357.0,1421.86,412.97,-1,cvat_keyframe
0,7,7,2,1.0,1254.22,335.42,1274.92,387.58,-1,cvat_keyframe
0,8,8,2,1.0,682.32,310.58,703.81,360.47,-1,cvat_keyframe
0,9,9,2,1.0,439.6,375.16,460.3,439.44,-1,cvat_keyframe
0,10,10,2,1.0,486.2,400.0,507.26,465.0,-1,cvat_keyframe
0,11,11,3,1.0,576.8,436.81,603.11,507.5,-1,cvat_keyframe
0,12,12,2,1.0,73.43,488.55,110.8,561.32,-1,cvat_keyframe
0,13,13,0,1.0,1255.93,381.95,1265.33,390.0,-1,cvat_keyframe
0,15,15,2,1.0,989.0,429.8,1019.2,505.09,-1,cvat_keyframe
1,0,0,2,1.0,1097.59,631.9,1131.72,725.36,-1,cvat_interp
1,1,1,2,1.0,652.17,494.94,678.57,567.33,-1,cvat_interp
1,2,2,2,1.0,808.27,403.17,830.28,468.6,-1,cvat_interp
1,3,3,2,1.0,891.8,408.18,913.23,473.36,-1,cvat_interp
1,4,4,2,1.0,1673.13,671.11,1724.58,774.02,-1,cvat_interp
1,5,5,2,1.0,1568.7,429.7,1598.9,496.09,-1,cvat_interp
1,6,6,1,1.0,1401.44,357.6,1422.89,413.77,-1,cvat_interp
1,7,7,2,1.0,1254.27,335.65,1275.31,388.27,-1,cvat_interp
1,8,8,2,1.0,681.87,311.16,703.35,361.04,-1,cvat_interp
1,9,9,2,1.0,438.83,375.54,461.32,439.83,-1,cvat_interp
1,10,10,2,1.0,485.69,400.38,508.02,465.39,-1,cvat_interp
1,11,11,3,1.0,577.18,437.32,603.5,508.01,-1,cvat_interp
1,12,12,2,1.0,73.44,488.68,110.67,562.08,-1,cvat_interp
1,13,13,0,1.0,1256.93,382.28,1266.26,390.32,-1,cvat_interp
1,15,15,2,1.0,989.78,430.69,1019.46,505.45,-1,cvat_interp
2,0,0,2,1.0,1096.86,632.08,1131.72,725.73,-1,cvat_interp
2,1,1,2,1.0,653.55,495.28,679.95,567.67,-1,cvat_interp
2,2,2,2,1.0,808.04,403.63,830.05,469.06,-1,cvat_interp
2,3,3,2,1.0,892.6,408.29,914.26,473.48,-1,cvat_interp
2,4,4,2,1.0,1675.53,671.26,1726.98,774.16,-1,cvat_interp
2,5,5,2,1.0,1568.7,429.7,1598.9,496.78,-1,cvat_interp
2,6,6,1,1.0,1401.78,358.2,1423.92,414.57,-1,cvat_interp
2,7,7,2,1.0,1254.31,335.88,1275.69,388.96,-1,cvat_interp
2,8,8,2,1.0,681.41,311.73,702.89,361.61,-1,cvat_interp
2,9,9,2,1.0,438.07,375.93,462.35,440.21,-1,cvat_interp
2,10,10,2,1.0,485.18,400.77,508.79,465.77,-1,cvat_interp
2,11,11,3,1.0,577.57,437.83,603.88,508.52,-1,cvat_interp
2,12,12,2,1.0,73.44,488.81,110.55,562.85,-1,cvat_interp
2,13,13,0,1.0,1257.94,382.6,1267.19,390.65,-1,cvat_interp
2,15,15,2,1.0,990.56,431.58,1019.72,505.82,-1,cvat_interp
3,0,0,2,1.0,1096.13,632.27,1131.72,726.09,-1,cvat_interp
3,1,1,2,1.0,654.92,495.62,681.32,568.01,-1,cvat_interp
3,2,2,2,1.0,807.81,404.09,829.82,469.52,-1,cvat_interp
3,3,3,2,1.0,893.4,408.4,915.29,473.59,-1,cvat_interp
3,4,4,2,1.0,1677.93,671.4,1729.38,774.3,-1,cvat_interp
3,5,5,2,1.0,1568.7,429.7,1598.9,497.47,-1,cvat_interp
3,6,6,1,1.0,1402.12,358.8,1424.95,415.37,-1,cvat_interp
3,7,7,2,1.0,1254.35,336.11,1276.07,389.65,-1,cvat_interp
3,8,8,2,1.0,680.95,312.3,702.43,362.19,-1,cvat_interp
3,9,9,2,1.0,437.3,376.31,463.37,440.59,-1,cvat_interp
3,10,10,2,1.0,484.67,401.15,509.55,466.15,-1,cvat_interp
3,11,11,3,1.0,577.95,438.34,604.26,509.03,-1,cvat_interp
3,12,12,2,1.0,73.45,488.93,110.42,563.61,-1,cvat_interp
3,13,13,0,1.0,1258.94,382.92,1268.11,390.97,-1,cvat_interp
3,15,15,2,1.0,991.34,432.47,1019.98,506.18,-1,cvat_interp
4,0,0,2,1.0,1095.39,632.45,1131.72,726.46,-1,cvat_interp
4,1,1,2,1.0,656.29,495.97,682.69,568.36,-1,cvat_interp
4,2,2,2,1.0,807.58,404.55,829.59,469.97,-1,cvat_interp
4,3,3,2,1.0,894.2,408.52,916.32,473.71,-1,cvat_interp
4,4,4,2,1.0,1680.34,671.54,1731.79,774.44,-1,cvat_interp
